,Chapter,Subchapter,ProblemID,Due_date
49,5,5.11,5282cb5a4d78473ba57e955bec4b27ec,2017-10-31
50,5,5.11,c8a12c0ea1364802b364b90914e5104a,2017-10-31
51,5,5.12,3d96ee9d968646c187a88b063f293aef,2017-10-31
52,5,5.12,c030de5a9a444edbbdfebec57da46597,2017-10-31
53,5,5.13,56f37b40be8a4048929749f403351968,2017-10-31
54,5,5.13,1fefa94df30d4287b587f10344dc48e5,2017-10-31
55,5,5.14,a076348ce77c4137b9bb54a53362c73c,2017-10-31
56,5,5.15,2190c9a4069441dd846635f76b61219a,2017-10-31
57,5,5.15,5cc5191d0e7049f4b4ecc3e90822c293,2017-10-31
58,6,6.1,82299e37bae4492d8d595b683e10d392,2017-11-07
59,6,6.2,897d7b33220840b598d7815efc8ca0e7,2017-11-07
60,6,6.3,c79d206e3214424a8db0f6de48536c59,2017-11-07
61,6,6.4,c05fd6e0a9da4d7090807e215d059b12,2017-11-07
62,6,6.5,8bf2875e11fe4cda917aa52ac83d4bc0,2017-11-07
63,6,6.6,b34f1ea2ac2943f4a507bfcafdf4f1fe,2017-11-07
64,6,6.6,2196f5a5ef0746e1a1bd60d3a37a7308,2017-11-07
65,6,6.7,0e9e93d7015b4a8bbcb0ce35b3f1fc43,2017-11-07
66,6,6.8,aa73980a767b4a48a25ae755857df6d5,2017-11-07
67,7,7.1,92148ceba9784c738767eff015acf7ea,2017-11-14
68,7,7.2,636a673c44fa4749b23a52b41124c735,2017-11-14
69,7,7.3,f84d7f49fdcf4adeaead7c9807a6e12e,2017-11-14
70,7,7.4,2f3f7ba649004f7b98514637b1fe2476,2017-11-14
71,7,7.4,cd90ae9c970b45729bf517ab6464b3c5,2017-11-14
72,7,7.4,052de01f3500482fb78035361f106097,2017-11-14
73,7,7.4,41c0afed7c7b4063bcd1484e8268ea65,2017-11-14
74,7,7.5,615192e453434adcaf2f869dfe60f2ff,2017-11-14
75,7,7.6,93bb2a4f280440c891a1b7eb2600c1f4,2017-11-14
76,7,7.7,a1896dd7f2a645a690f30ea466fc780a,2017-11-14
